item.type,item.value,itemLabel.xml:lang,itemLabel.type,itemLabel.value
uri,http://www.wikidata.org/entity/Q19796006,en,literal,Ramsay Bolton
uri,http://www.wikidata.org/entity/Q12902673,en,literal,Ygritte
uri,http://www.wikidata.org/entity/Q13634884,en,literal,Robb Stark
uri,http://www.wikidata.org/entity/Q23746151,en,literal,Mace Tyrell
uri,http://www.wikidata.org/entity/Q23748587,en,literal,Olenna Tyrell
uri,http://www.wikidata.org/entity/Q23749012,en,literal,Edmure Tully
uri,http://www.wikidata.org/entity/Q23759084,en,literal,Jaehaerys II Targaryen
uri,http://www.wikidata.org/entity/Q23759406,en,literal,Ormund Baratheon
uri,http://www.wikidata.org/entity/Q23759981,en,literal,Ryam Florent
uri,http://www.wikidata.org/entity/Q23760175,en,literal,Melessa Tarly
uri,http://www.wikidata.org/entity/Q19791158,en,literal,Jon Arryn
uri,http://www.wikidata.org/entity/Q23749057,en,literal,Robert Arryn
uri,http://www.wikidata.org/entity/Q23754017,en,literal,Tytos Lannister
uri,http://www.wikidata.org/entity/Q23758813,en,literal,Jeyne Lannister
uri,http://www.wikidata.org/entity/Q23759337,en,literal,Shaera Targaryen
uri,http://www.wikidata.org/entity/Q113989501,en,literal,Daeron Targaryen
uri,http://www.wikidata.org/entity/Q111648653,en,literal,Harrold Westerling
uri,http://www.wikidata.org/entity/Q111648688,en,literal,Aemond Targaryen
uri,http://www.wikidata.org/entity/Q111648739,en,literal,Larys Strong
uri,http://www.wikidata.org/entity/Q111648778,en,literal,Lyman Beesbury
uri,http://www.wikidata.org/entity/Q111648813,en,literal,Helaena Targaryen
uri,http://www.wikidata.org/entity/Q111648907,en,literal,Lyonel Strong
uri,http://www.wikidata.org/entity/Q111648952,en,literal,Laena Velaryon
uri,http://www.wikidata.org/entity/Q113561318,en,literal,Viserys II Targaryen
uri,http://www.wikidata.org/entity/Q113563023,en,literal,Erryk Cargyll
uri,http://www.wikidata.org/entity/Q113563034,en,literal,Arryk Cargyll
uri,http://www.wikidata.org/entity/Q113563047,en,literal,Lucerys Velaryon
uri,http://www.wikidata.org/entity/Q113989435,en,literal,Joffrey Velaryon
uri,http://www.wikidata.org/entity/Q113996507,en,literal,Boremund Baratheon
uri,http://www.wikidata.org/entity/Q113996521,en,literal,Borros Baratheon
uri,http://www.wikidata.org/entity/Q114094266,en,literal,Arlan of Pennytree
uri,http://www.wikidata.org/entity/Q114094444,en,literal,Baelor I Targaryen
uri,http://www.wikidata.org/entity/Q114094615,en,literal,Baelor Targaryen
uri,http://www.wikidata.org/entity/Q114094763,en,literal,Aerion Targaryen
uri,http://www.wikidata.org/entity/Q114151431,en,literal,Maekar I Targaryen
uri,http://www.wikidata.org/entity/Q96201256,en,literal,Walder Rivers
uri,http://www.wikidata.org/entity/Q23780468,en,literal,Rhaenys Targaryen (daughter of Rhaegar)
uri,http://www.wikidata.org/entity/Q23782376,en,literal,Emmon Frey
uri,http://www.wikidata.org/entity/Q26944965,en,literal,Meera Reed
uri,http://www.wikidata.org/entity/Q23765101,en,literal,Amerei Frey
uri,http://www.wikidata.org/entity/Q23765058,en,literal,Lynesse Hightower
uri,http://www.wikidata.org/entity/Q23765091,en,literal,Mariya Darry
uri,http://www.wikidata.org/entity/Q23780479,en,literal,Aegon Targaryen
uri,http://www.wikidata.org/entity/Q23782368,en,literal,Walder Frey
